medalist_name,male_archery,female_archery,male_athletics,female_athletics,male_badminton,female_badminton,male_baseball,male_basketball,female_basketball,male_boxing,male_canoeing and kayaking,female_canoeing and kayaking,male_road bicycle racing,female_road bicycle racing,male_track cycling,female_track cycling,male_mountain biking,female_mountain biking,male_bmx,female_bmx,male_diving,female_diving,female_equestrian sport,male_equestrian sport,male_fencing,female_fencing,male_field hockey,female_field hockey,male_association football,female_association football,male_artistic gymnastics,female_artistic gymnastics,female_rhythmic gymnastics,male_trampoline gymnastics,female_trampoline gymnastics,male_handball,female_handball,male_judo,female_judo,male_modern pentathlon,female_modern pentathlon,male_rowing,female_rowing,male_sailing,female_sailing,male_shooting sport,female_shooting sport,female_softball,male_swimming,female_swimming,female_synchronized swimming,male_table tennis,female_table tennis,male_taekwondo,female_taekwondo,male_tennis,female_tennis,male_triathlon,female_triathlon,male_beach volleyball,female_beach volleyball,male_volleyball,female_volleyball,male_water polo,female_water polo,male_weightlifting,female_weightlifting,male_freestyle wrestling,female_freestyle wrestling,male_greco-roman wrestling
Christine Ohuruogu,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine Wenzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,
Christophe Guénot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze
Christophe Kempé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chu Mu-yen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,
Claudia Burkart,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Fredericks,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,
Clemente Russo,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conny Pohlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conny Waßmuth,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantina Diță,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constanța Burcică,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Cogdell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,
Cristian Malmagro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiane Rozeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystl Bustos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,
Cullen Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,
Cédric Berrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Burdet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Paty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Célia Šašić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
César Cielo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,
Daisy Dick,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalia Contreras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,
Damaris Gabriela Aguirre Aldaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,
Dang Ye-seo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,
Daniel Narcisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniela Alves Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle Scott-Arruda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,
Danielle Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,
Danila Izotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,
Daniëlle de Bruijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,
Dante Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,
Danuta Kozák,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daouda Karaboué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daouda Sow,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dara Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,
Daria Shkurikhina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Bundock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Sutherland,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Alegre,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Barrufet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Cal,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Calder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Crawshay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,
David Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Florence,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Guest,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Kostelecký,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,
David Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,
David Musuľbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,
David Neville,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Oliver,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Payne,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Price,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,
Dawn Harper-Nelson,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daynellis Montejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,
Dayron Robles,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeLisha Milton-Jones,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debbie Flood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deborah Gravenstijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejan Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,
Dele Adeleye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrio Lozano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deng Linlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis Nizhegorodov,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis Šefik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,
Deontay Wilder,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Miles,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des Abbott,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexter Fowler,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,
Diana Taurasi,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didier Dinart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Alves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Buonanotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Confalonieri,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Occhiuzzi,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Ribas da Cunha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,
Dimitrij Ovtcharov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,
Dimitris Mougios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinara Safina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,
Disney Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,
Ditte Kotzian,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dmitri Sautin,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dmitriy Dobroskok,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dmitry Klokov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,
Dmitry Larionov,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doina Ignat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Seiterle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dong Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donny Robinson,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorian Mortelette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Ginn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Du Jing,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Du Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,
Duncan Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duško Pijetlović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,
Dwight Howard,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwyane Wade,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Armstrong,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dániel Varga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,
Dénes Varga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,
Eamon Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,
Ed Clancy,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Ockenden,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edith Bosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduard Arbós,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduard Tubau,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Paret,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edvinas Krungolcas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin Soi,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eefke Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efe Ambrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eglis Yaima Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,
Eirik Verås Larsen,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekaterina Karsten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekaterina Khilko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eko Irawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,
Elaine Breeden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,
Ele Opeloge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,
Elena Dementieva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,
Elena Georgescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elena Kaliská,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eli Matheson,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elier Sánchez,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elisa Rigaudo,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elisabeth Willeboordse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise Laverick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise Rechichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,
Eliud Kipchoge,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,
Elle Logan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen Hoog,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elnur Mammadli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Else-Marthe Sørlie Lybekk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsie Windes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,
Elvira Khasyanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,
Emanuel Rego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,
Emi Inui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,
Emiko Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,
Emilio Correa,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliya Turey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Cross,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Seebohm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,
Emily Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,
Emma Johansson,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Knox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,
Emma Moffatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,
Emma Pooley,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Randall,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Snowsill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,
Emmanuel Callender,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Ekpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ene Franca Idoko,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enikő Barabás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enkhbatyn Badar-Uugan,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
